pickup_id,cohort,segment,order_channel,prep_time_min,wait_time_min,pickup_mode,effort_score_1_7,csat_1_5,no_show_flag
PK-0029,pilot,digital_parent,app,39.5,2.5,click_and_collect,3.2,3.5,0
PK-0030,pilot,chronic,app,56.3,1.3,click_and_collect,2.0,4.7,0
PK-0031,pilot,other,web,75.1,1.9,click_and_collect,2.8,4.1,0
PK-0032,pilot,digital_parent,phone,61.0,2.6,click_and_collect,1.4,4.0,0
PK-0033,pilot,caregiver,phone,62.1,2.2,click_and_collect,2.3,3.6,0
PK-0034,pilot,other,app,59.7,2.8,click_and_collect,2.0,4.0,0
PK-0035,pilot,chronic,phone,37.6,2.8,click_and_collect,2.4,3.7,0
PK-0036,pilot,digital_parent,app,72.2,1.9,click_and_collect,2.6,4.9,0
PK-0037,pilot,other,app,67.0,2.8,click_and_collect,2.4,4.5,0
PK-0038,pilot,caregiver,app,66.4,2.0,click_and_collect,2.2,4.4,0
PK-0039,pilot,chronic,app,90.7,1.0,click_and_collect,2.2,4.8,0
PK-0040,pilot,other,app,48.1,,click_and_collect,,,1
PK-0041,pilot,elderly_repeat,in_store,7.1,4.2,counter_pickup,2.7,4.2,0
PK-0042,pilot,elderly_repeat,in_store,6.4,3.2,counter_pickup,2.2,4.5,0
PK-0043,pilot,elderly_repeat,in_store,8.6,3.8,counter_pickup,2.8,4.0,0
PK-0044,pilot,chronic,in_store,6.7,4.5,counter_pickup,3.4,4.4,0
PK-0045,pilot,other,in_store,6.4,6.7,counter_pickup,3.4,4.7,0
PK-0046,pilot,caregiver,in_store,7.3,6.5,counter_pickup,3.5,3.4,0
PK-0047,pilot,other,in_store,8.4,8.1,counter_pickup,3.0,4.2,0
PK-0048,pilot,digital_parent,in_store,8.7,8.2,counter_pickup,3.2,4.7,0
PK-0049,baseline,digital_parent,app,188.2,6.0,click_and_collect,4.5,3.1,0
PK-0050,baseline,chronic,app,214.5,6.1,click_and_collect,4.7,3.3,0
PK-0051,baseline,other,app,172.8,6.2,click_and_collect,4.8,3.4,0
PK-0052,baseline,caregiver,app,246.7,6.3,click_and_collect,5.0,3.6,0
PK-0053,baseline,digital_parent,app,231.9,6.4,click_and_collect,5.1,3.7,0
PK-0054,baseline,chronic,app,199.4,6.5,click_and_collect,4.5,3.1,0
PK-0055,baseline,other,app,265.1,6.0,click_and_collect,4.7,3.3,0
PK-0056,baseline,caregiver,app,154.8,6.1,click_and_collect,4.8,3.4,0
PK-0057,baseline,digital_parent,app,223.6,6.2,click_and_collect,5.0,3.6,0
PK-0058,baseline,chronic,app,281.0,6.3,click_and_collect,5.1,3.7,0
PK-0059,baseline,other,app,176.2,6.4,click_and_collect,4.5,3.1,0
PK-0060,baseline,caregiver,app,241.5,6.5,click_and_collect,4.7,3.3,0
PK-0061,baseline,digital_parent,app,208.9,6.0,click_and_collect,4.8,3.4,0
PK-0062,baseline,chronic,app,196.1,6.1,click_and_collect,5.0,3.6,0
PK-0063,baseline,other,app,252.4,6.2,click_and_collect,5.1,3.7,0
PK-0064,baseline,caregiver,app,167.7,6.3,click_and_collect,4.5,3.1,0
PK-0065,baseline,digital_parent,app,235.8,6.4,click_and_collect,4.7,3.3,0
PK-0066,baseline,chronic,app,219.6,6.5,click_and_collect,4.8,3.4,0
PK-0067,baseline,other,app,287.3,6.0,click_and_collect,5.0,3.6,0
PK-0068,baseline,caregiver,app,193.8,6.1,click_and_collect,5.1,3.7,0
PK-0069,baseline,digital_parent,web,248.5,6.2,click_and_collect,4.5,3.1,0
PK-0070,baseline,chronic,web,205.7,6.3,click_and_collect,4.7,3.3,0
PK-0071,baseline,other,web,173.4,6.4,click_and_collect,4.8,3.4,0
PK-0072,baseline,caregiver,web,257.9,6.5,click_and_collect,5.0,3.6,0
PK-0073,baseline,digital_parent,web,226.3,6.0,click_and_collect,5.1,3.7,0
PK-0074,baseline,chronic,web,184.6,6.1,click_and_collect,4.5,3.1,0
PK-0075,baseline,other,web,271.8,6.2,click_and_collect,4.7,3.3,0
PK-0076,baseline,caregiver,web,212.4,5.8,click_and_collect,5.9,3.9,0
PK-0077,baseline,digital_parent,web,244.2,,click_and_collect,,,1
PK-0078,baseline,chronic,web,190.7,,click_and_collect,,,1
PK-0079,baseline,other,web,259.6,,click_and_collect,,,1
PK-0080,baseline,caregiver,phone,179.5,,click_and_collect,,,1
PK-0081,baseline,digital_parent,phone,233.1,,click_and_collect,,,1
PK-0082,baseline,chronic,phone,268.4,,click_and_collect,,,1
PK-0083,pilot,digital_parent,app,58.2,1.9,click_and_collect,2.4,3.9,0
PK-0084,pilot,chronic,app,61.7,2.1,click_and_collect,2.5,4.1,0
PK-0085,pilot,other,app,73.5,2.2,click_and_collect,2.6,4.2,0
PK-0086,pilot,caregiver,app,46.8,2.3,click_and_collect,2.7,4.3,0
PK-0087,pilot,digital_parent,app,64.1,2.5,click_and_collect,2.8,4.5,0
PK-0088,pilot,chronic,app,55.6,1.9,click_and_collect,2.4,3.9,0
PK-0089,pilot,other,app,68.2,2.1,click_and_collect,2.5,4.1,0
PK-0090,pilot,caregiver,app,74.7,2.2,click_and_collect,2.6,4.2,0
PK-0091,pilot,digital_parent,app,52.9,2.3,click_and_collect,2.7,4.3,0
PK-0092,pilot,chronic,app,66.4,2.5,click_and_collect,2.8,4.5,0
PK-0093,pilot,other,app,57.1,1.9,click_and_collect,2.4,3.9,0
PK-0094,pilot,caregiver,app,71.8,2.1,click_and_collect,2.5,4.1,0
PK-0095,pilot,digital_parent,app,49.5,2.2,click_and_collect,2.6,4.2,0
PK-0096,pilot,chronic,app,63.3,2.3,click_and_collect,2.7,4.3,0
PK-0097,pilot,other,app,54.2,2.5,click_and_collect,2.8,4.5,0
PK-0098,pilot,caregiver,app,77.6,1.9,click_and_collect,2.4,3.9,0
PK-0099,pilot,digital_parent,app,59.4,2.1,click_and_collect,2.5,4.1,0
PK-0100,pilot,chronic,app,69.9,2.2,click_and_collect,2.6,4.2,0
PK-0101,pilot,other,app,45.8,2.3,click_and_collect,2.7,4.3,0
PK-0102,pilot,caregiver,app,62.7,2.5,click_and_collect,2.8,4.5,0
PK-0103,pilot,digital_parent,app,56.3,1.9,click_and_collect,2.4,3.9,0
PK-0104,pilot,chronic,web,72.4,2.1,click_and_collect,2.5,4.1,0
PK-0105,pilot,other,web,51.6,2.2,click_and_collect,2.6,4.2,0
PK-0106,pilot,caregiver,web,67.5,2.3,click_and_collect,2.7,4.3,0
PK-0107,pilot,digital_parent,web,60.8,2.5,click_and_collect,2.8,4.5,0
PK-0108,pilot,chronic,web,78.1,1.9,click_and_collect,2.4,3.9,0
PK-0109,pilot,other,web,53.7,2.1,click_and_collect,2.5,4.1,0
PK-0110,pilot,caregiver,web,65.2,2.2,click_and_collect,2.6,4.2,0
PK-0111,pilot,digital_parent,web,57.9,3.0,click_and_collect,2.6,4.1,0
PK-0112,pilot,chronic,phone,70.6,,click_and_collect,,,1
PK-0113,pilot,other,phone,48.4,,click_and_collect,,,1
