attendance_id,participant_hash,session_id,session_venue,cohort,preferred_language,accessibility_flag,silent_card_submitted,dots_safety_after_dark,dots_reliability_information,dots_fair_pricing,dots_digital_exclusion,dots_stop_accessibility,dots_trust_social_connection
MM-A-1028,MM-P-15c0,W2,Bergenveld Village Hall,student,ar,1,0,1,2,2,2,2,1
MM-A-1029,MM-P-3772,W2,Bergenveld Village Hall,student,nl,0,1,3,2,3,1,0,1
MM-A-1030,MM-P-d05a,W2,Bergenveld Village Hall,shift_worker,tr,0,0,2,3,1,3,0,1
MM-A-1031,MM-P-0af0,W3,Oostend Community Centre,other_resident,nl,0,0,1,2,2,2,1,2
MM-A-1032,MM-P-0cac,W3,Oostend Community Centre,shift_worker,en,0,1,4,1,0,0,1,4
MM-A-1033,MM-P-27b9,W3,Oostend Community Centre,parent_carer,nl,0,0,1,2,3,2,2,0
MM-A-1034,MM-P-58d6,W3,Oostend Community Centre,elderly_60plus,ar,0,1,3,2,0,2,3,0
MM-A-1035,MM-P-8fed,W3,Oostend Community Centre,elderly_60plus,tr,0,0,4,3,0,1,1,1
MM-A-1036,MM-P-a68f,W3,Oostend Community Centre,shift_worker,nl,0,0,3,1,1,1,1,3
MM-A-1037,MM-P-28bc,W3,Oostend Community Centre,elderly_60plus,en,0,0,4,4,1,0,1,0
MM-A-1038,MM-P-3593,W3,Oostend Community Centre,parent_carer,nl,0,0,3,2,2,2,1,0
MM-A-1039,MM-P-6a6f,W3,Oostend Community Centre,student,nl,0,0,3,2,3,2,0,0
MM-A-1040,MM-P-a728,W3,Oostend Community Centre,elderly_60plus,ar,1,0,2,4,0,1,3,0
MM-A-1041,MM-P-ea51,W3,Oostend Community Centre,elderly_60plus,nl,0,0,4,3,2,0,1,0
MM-A-1042,MM-P-27b9,W3,Oostend Community Centre,parent_carer,nl,0,0,3,2,4,1,0,0
MM-A-1043,MM-P-f76e,W3,Oostend Community Centre,shift_worker,nl,0,1,4,2,1,1,0,2
MM-A-1044,MM-P-21a2,W3,Oostend Community Centre,shift_worker,nl,1,0,3,2,1,2,2,0
MM-A-1045,MM-P-0cf0,W4,Al-Noor Cultural Centre,elderly_60plus,ar,0,0,2,2,0,4,2,0
MM-A-1046,MM-P-7c79,W4,Al-Noor Cultural Centre,student,en,0,0,3,2,2,1,1,1
MM-A-1047,MM-P-e9df,W4,Al-Noor Cultural Centre,elderly_60plus,nl,0,0,4,1,1,1,2,1
MM-A-1048,MM-P-cc62,W4,Al-Noor Cultural Centre,elderly_60plus,en,0,0,1,3,1,1,3,1
MM-A-1049,MM-P-40c0,W4,Al-Noor Cultural Centre,student,nl,0,0,4,2,2,2,0,0
MM-A-1050,MM-P-a038,W4,Al-Noor Cultural Centre,student,nl,0,0,1,2,1,4,1,1
MM-A-1051,MM-P-e9df,W4,Al-Noor Cultural Centre,elderly_60plus,nl,0,0,2,2,3,0,3,0
MM-A-1052,MM-P-e173,W4,Al-Noor Cultural Centre,elderly_60plus,nl,0,0,4,2,2,0,2,0
MM-A-1053,MM-P-d913,W4,Al-Noor Cultural Centre,elderly_60plus,ar,1,0,4,1,0,4,1,0
MM-A-1054,MM-P-a20e,W4,Al-Noor Cultural Centre,shift_worker,en,0,1,1,3,3,0,1,2
MM-A-1055,MM-P-8aa2,W4,Al-Noor Cultural Centre,parent_carer,nl,1,0,3,3,1,0,3,0
MM-A-1056,MM-P-11a1,W4,Al-Noor Cultural Centre,elderly_60plus,nl,0,0,4,2,0,3,1,0
MM-A-1057,MM-P-f6b8,W4,Al-Noor Cultural Centre,other_resident,nl,0,0,2,3,1,2,2,0
MM-A-1058,MM-P-bdab,W5,Westermolen Village Hall,elderly_60plus,en,1,0,2,2,0,2,2,2
MM-A-1059,MM-P-c59c,W5,Westermolen Village Hall,shift_worker,nl,1,0,3,2,2,1,2,0
MM-A-1060,MM-P-9d5e,W5,Westermolen Village Hall,elderly_60plus,nl,0,0,2,1,2,2,2,1
MM-A-1061,MM-P-566f,W5,Westermolen Village Hall,student,nl,0,0,2,2,0,2,1,3
MM-A-1062,MM-P-3766,W5,Westermolen Village Hall,student,nl,1,0,3,2,1,3,0,1
MM-A-1063,MM-P-d475,W5,Westermolen Village Hall,elderly_60plus,ar,0,0,4,3,0,1,2,0
MM-A-1064,MM-P-aa39,W5,Westermolen Village Hall,shift_worker,nl,0,0,3,1,1,2,2,1
MM-A-1065,MM-P-7853,W5,Westermolen Village Hall,elderly_60plus,nl,1,0,4,1,2,1,2,0
MM-A-1066,MM-P-82f0,W5,Westermolen Village Hall,other_resident,tr,1,0,1,2,0,3,3,1
MM-A-1067,MM-P-e4d5,W5,Westermolen Village Hall,student,en,0,0,4,3,0,1,0,2
MM-A-1068,MM-P-aede,W5,Westermolen Village Hall,elderly_60plus,ar,0,1,2,2,2,2,2,0
MM-A-1069,MM-P-d7ce,W5,Westermolen Village Hall,parent_carer,ar,0,1,2,1,3,3,1,0
MM-A-1070,MM-P-5dff,W5,Westermolen Village Hall,elderly_60plus,nl,0,0,1,3,3,2,1,0
MM-A-1071,MM-P-3348,W5,Westermolen Village Hall,student,nl,1,0,3,2,0,1,3,1
MM-A-1072,MM-P-8736,W5,Westermolen Village Hall,student,nl,0,0,4,3,1,1,0,1
MM-A-1073,MM-P-462d,W6,Kesselt North Neighbourhood House,student,nl,0,0,4,2,0,3,0,1
MM-A-1074,MM-P-03d7,W6,Kesselt North Neighbourhood House,student,nl,0,0,2,4,1,2,0,1
MM-A-1075,MM-P-3102,W6,Kesselt North Neighbourhood House,student,ar,0,1,4,2,0,3,0,1
MM-A-1076,MM-P-32cf,W6,Kesselt North Neighbourhood House,shift_worker,nl,0,0,4,2,2,0,1,1
MM-A-1077,MM-P-1bdb,W6,Kesselt North Neighbourhood House,student,nl,0,0,3,3,2,1,0,1
MM-A-1078,MM-P-4f30,W6,Kesselt North Neighbourhood House,elderly_60plus,nl,0,0,4,2,1,0,2,1
MM-A-1079,MM-P-8dcb,W6,Kesselt North Neighbourhood House,elderly_60plus,nl,0,0,3,4,1,0,2,0
MM-A-1080,MM-P-b721,W6,Kesselt North Neighbourhood House,student,tr,0,0,1,3,1,4,0,1
MM-A-1081,MM-P-aac8,W6,Kesselt North Neighbourhood House,elderly_60plus,tr,0,1,2,2,1,2,3,0
MM-A-1082,MM-P-2da8,W6,Kesselt North Neighbourhood House,student,nl,0,0,4,4,0,1,0,1
MM-A-1083,MM-P-2f24,W6,Kesselt North Neighbourhood House,student,nl,0,1,2,2,1,1,2,2
MM-A-1084,MM-P-f213,W6,Kesselt North Neighbourhood House,elderly_60plus,nl,1,0,2,2,3,0,3,0
MM-A-1085,MM-P-3268,W6,Kesselt North Neighbourhood House,student,nl,0,1,4,1,1,1,1,2
MM-A-1086,MM-P-6e8b,W6,Kesselt North Neighbourhood House,shift_worker,nl,0,0,4,2,0,2,1,1
MM-A-1087,MM-P-1b67,Y1,Velderland College,student,en,0,0,4,1,1,1,0,3
MM-A-1088,MM-P-96da,Y1,Velderland College,elderly_60plus,nl,0,0,3,2,0,2,2,1
MM-A-1089,MM-P-8038,Y1,Velderland College,student,tr,0,1,1,2,1,3,1,2
MM-A-1090,MM-P-7ffe,Y1,Velderland College,shift_worker,tr,1,1,2,1,0,2,1,4
MM-A-1091,MM-P-9717,Y1,Velderland College,student,tr,0,0,2,3,0,4,0,1
MM-A-1092,MM-P-50de,Y1,Velderland College,student,en,0,0,3,1,1,2,0,3
MM-A-1093,MM-P-fe87,Y1,Velderland College,shift_worker,tr,1,1,4,2,0,2,0,2
MM-A-1094,MM-P-3772,Y1,Velderland College,student,nl,0,0,1,1,1,3,2,2
MM-A-1095,MM-P-f78e,Y1,Velderland College,parent_carer,nl,0,1,1,1,2,1,2,3
MM-A-1096,MM-P-8fed,Y1,Velderland College,elderly_60plus,tr,0,0,2,2,2,2,2,0
MM-A-1097,MM-P-06bd,Y1,Velderland College,elderly_60plus,nl,0,1,3,1,1,1,3,1
MM-A-1098,MM-P-7ffe,Y1,Velderland College,shift_worker,tr,1,1,3,2,3,1,0,1
MM-A-1099,MM-P-485e,Y2,Kesselt Youth Hub,shift_worker,nl,0,1,2,2,3,1,2,0
MM-A-1100,MM-P-8062,Y2,Kesselt Youth Hub,elderly_60plus,nl,0,0,4,3,1,1,1,0
MM-A-1101,MM-P-ed6c,Y2,Kesselt Youth Hub,student,nl,1,0,2,3,2,1,2,0
MM-A-1102,MM-P-7702,Y2,Kesselt Youth Hub,student,en,1,0,3,3,1,1,2,0
MM-A-1103,MM-P-6f52,Y2,Kesselt Youth Hub,shift_worker,nl,0,1,4,3,1,2,0,0
MM-A-1104,MM-P-a68f,Y2,Kesselt Youth Hub,shift_worker,nl,0,0,4,1,2,3,0,0
MM-A-1105,MM-P-e518,Y2,Kesselt Youth Hub,elderly_60plus,nl,1,0,3,2,0,3,2,0
MM-A-1106,MM-P-7393,Y2,Kesselt Youth Hub,student,tr,0,0,3,2,2,2,1,0
MM-A-1107,MM-P-0481,Y2,Kesselt Youth Hub,other_resident,ar,0,0,3,1,4,2,0,0
MM-A-1108,MM-P-6047,Y2,Kesselt Youth Hub,parent_carer,nl,0,0,3,3,2,1,1,0
MM-A-1109,MM-P-0324,Y2,Kesselt Youth Hub,other_resident,nl,0,1,3,1,3,2,1,0
MM-A-1110,MM-P-d913,Y3,Station South Pop-up,elderly_60plus,ar,1,0,1,2,4,1,2,0
MM-A-1111,MM-P-58e7,Y3,Station South Pop-up,student,tr,1,1,1,2,4,2,1,0
MM-A-1112,MM-P-8539,Y3,Station South Pop-up,student,tr,0,0,3,1,4,2,0,0
MM-A-1113,MM-P-0af0,Y3,Station South Pop-up,other_resident,nl,0,0,3,1,4,1,1,0
MM-A-1114,MM-P-d633,Y3,Station South Pop-up,shift_worker,en,0,1,1,4,4,1,0,0
MM-A-1115,MM-P-2da8,Y3,Station South Pop-up,student,nl,0,0,3,2,4,1,0,0
MM-A-1116,MM-P-9093,Y3,Station South Pop-up,shift_worker,ar,1,0,3,2,4,1,0,0
MM-A-1117,MM-P-b721,Y3,Station South Pop-up,student,tr,0,0,2,2,4,2,0,0
MM-A-1118,MM-P-de13,Y3,Station South Pop-up,shift_worker,nl,0,1,4,1,4,1,0,0
MM-A-1119,MM-P-0df3,Y3,Station South Pop-up,student,nl,0,0,2,2,4,2,0,0
MM-A-1120,MM-P-7c37,Y3,Station South Pop-up,shift_worker,nl,1,0,2,0,4,2,2,0
MM-A-1121,MM-P-cd7f,Y3,Station South Pop-up,student,nl,0,1,3,0,4,2,1,0
