member_id_hash,cohort,week,checkins,goal_attainment_pct,engagement_score,relapse_flag,outcome_flag
3749171155,steady-habits-v2-relapse,3,3,72,84,none,green
3749171155,steady-habits-v2-relapse,4,1,81,87,none,amber
3749171155,steady-habits-v2-relapse,5,3,65,80,none,amber
3749171155,steady-habits-v2-relapse,6,0,60,65,lapse,amber
3749171155,steady-habits-v2-relapse,7,3,87,93,recovery,green
3749171155,steady-habits-v2-relapse,8,2,71,74,none,green
3749171155,steady-habits-v2-relapse,9,2,71,84,none,green
3749171155,steady-habits-v2-relapse,10,2,85,84,none,green
3749171155,steady-habits-v2-relapse,11,3,75,85,none,amber
3749171155,steady-habits-v2-relapse,12,2,88,90,none,amber
1c6c420b83,steady-habits-v2-relapse,1,2,72,72,none,amber
1c6c420b83,steady-habits-v2-relapse,2,3,81,76,none,green
1c6c420b83,steady-habits-v2-relapse,3,2,84,81,none,green
1c6c420b83,steady-habits-v2-relapse,4,3,73,84,none,amber
1c6c420b83,steady-habits-v2-relapse,5,1,67,79,none,amber
1c6c420b83,steady-habits-v2-relapse,6,2,72,79,none,green
1c6c420b83,steady-habits-v2-relapse,7,2,79,74,none,amber
1c6c420b83,steady-habits-v2-relapse,8,0,49,61,lapse,amber
1c6c420b83,steady-habits-v2-relapse,9,3,92,87,recovery,amber
1c6c420b83,steady-habits-v2-relapse,10,1,89,79,none,green
1c6c420b83,steady-habits-v2-relapse,11,2,80,84,none,green
1c6c420b83,steady-habits-v2-relapse,12,2,84,83,none,green
222d23e6c2,steady-habits-v2-relapse,1,2,68,76,none,amber
222d23e6c2,steady-habits-v2-relapse,2,2,73,78,none,amber
222d23e6c2,steady-habits-v2-relapse,3,1,81,83,none,amber
222d23e6c2,steady-habits-v2-relapse,4,2,85,89,none,green
222d23e6c2,steady-habits-v2-relapse,5,1,64,81,none,amber
222d23e6c2,steady-habits-v2-relapse,6,3,72,85,none,green
222d23e6c2,steady-habits-v2-relapse,7,2,71,79,none,amber
222d23e6c2,steady-habits-v2-relapse,8,0,49,60,lapse,amber
222d23e6c2,steady-habits-v2-relapse,9,2,90,92,recovery,green
222d23e6c2,steady-habits-v2-relapse,10,1,84,82,none,amber
222d23e6c2,steady-habits-v2-relapse,11,3,86,86,none,amber
222d23e6c2,steady-habits-v2-relapse,12,2,78,91,none,green
6bea35aa9b,steady-habits-v2-relapse,1,2,70,75,none,green
6bea35aa9b,steady-habits-v2-relapse,2,2,70,75,none,amber
6bea35aa9b,steady-habits-v2-relapse,3,2,68,84,none,amber
6bea35aa9b,steady-habits-v2-relapse,4,2,71,79,none,green
6bea35aa9b,steady-habits-v2-relapse,5,3,74,83,none,amber
6bea35aa9b,steady-habits-v2-relapse,6,2,74,82,none,amber
6bea35aa9b,steady-habits-v2-relapse,7,2,76,76,none,amber
6bea35aa9b,steady-habits-v2-relapse,8,1,43,55,lapse,red
6bea35aa9b,steady-habits-v2-relapse,9,3,80,86,recovery,green
6bea35aa9b,steady-habits-v2-relapse,10,2,73,83,none,green
6bea35aa9b,steady-habits-v2-relapse,11,2,87,81,none,green
6bea35aa9b,steady-habits-v2-relapse,12,3,78,83,none,amber
5385b6b4e8,steady-habits-v2-relapse,1,3,62,75,none,amber
5385b6b4e8,steady-habits-v2-relapse,2,3,80,84,none,amber
5385b6b4e8,steady-habits-v2-relapse,3,2,66,79,none,amber
5385b6b4e8,steady-habits-v2-relapse,4,3,76,83,none,amber
5385b6b4e8,steady-habits-v2-relapse,5,2,67,78,none,amber
5385b6b4e8,steady-habits-v2-relapse,6,0,43,65,lapse,red
5385b6b4e8,steady-habits-v2-relapse,7,3,85,92,recovery,green
5385b6b4e8,steady-habits-v2-relapse,8,2,61,82,none,amber
5385b6b4e8,steady-habits-v2-relapse,9,1,75,87,none,amber
5385b6b4e8,steady-habits-v2-relapse,10,2,80,85,none,green
5385b6b4e8,steady-habits-v2-relapse,11,3,74,90,none,green
5385b6b4e8,steady-habits-v2-relapse,12,2,73,86,none,green
2950495ecc,steady-habits-v2-relapse,1,3,56,70,none,amber
2950495ecc,steady-habits-v2-relapse,2,3,75,80,none,green
2950495ecc,steady-habits-v2-relapse,3,1,82,80,none,green
2950495ecc,steady-habits-v2-relapse,4,3,81,79,none,amber
2950495ecc,steady-habits-v2-relapse,5,1,72,80,none,amber
2950495ecc,steady-habits-v2-relapse,6,0,45,61,lapse,amber
2950495ecc,steady-habits-v2-relapse,7,3,78,86,recovery,amber
2950495ecc,steady-habits-v2-relapse,8,2,69,73,none,green
2950495ecc,steady-habits-v2-relapse,9,3,75,84,none,amber
2950495ecc,steady-habits-v2-relapse,10,3,74,82,none,green
2950495ecc,steady-habits-v2-relapse,11,3,81,88,none,amber
2950495ecc,steady-habits-v2-relapse,12,3,91,82,none,green
900fb461f4,steady-habits-v2-relapse,1,3,60,74,none,amber
900fb461f4,steady-habits-v2-relapse,2,3,80,76,none,amber
900fb461f4,steady-habits-v2-relapse,3,1,65,87,none,amber
900fb461f4,steady-habits-v2-relapse,4,2,78,81,none,amber
900fb461f4,steady-habits-v2-relapse,5,1,66,82,none,amber
900fb461f4,steady-habits-v2-relapse,6,1,72,81,none,amber
900fb461f4,steady-habits-v2-relapse,7,2,69,78,none,green
900fb461f4,steady-habits-v2-relapse,8,0,46,59,lapse,amber
900fb461f4,steady-habits-v2-relapse,9,3,89,89,recovery,green
900fb461f4,steady-habits-v2-relapse,10,2,69,85,none,green
900fb461f4,steady-habits-v2-relapse,11,1,86,89,none,green
900fb461f4,steady-habits-v2-relapse,12,2,86,84,none,green
1462275737,steady-habits-v2-relapse,1,3,63,77,none,amber
1462275737,steady-habits-v2-relapse,2,2,80,78,none,amber
1462275737,steady-habits-v2-relapse,3,1,82,84,none,amber
1462275737,steady-habits-v2-relapse,4,3,67,85,none,amber
1462275737,steady-habits-v2-relapse,5,3,64,76,none,amber
1462275737,steady-habits-v2-relapse,6,0,51,56,lapse,amber
1462275737,steady-habits-v2-relapse,7,2,90,89,recovery,amber
1462275737,steady-habits-v2-relapse,8,3,64,72,none,amber
1462275737,steady-habits-v2-relapse,9,2,74,81,none,amber
1462275737,steady-habits-v2-relapse,10,2,76,81,none,green
1462275737,steady-habits-v2-relapse,11,2,78,87,none,green
1462275737,steady-habits-v2-relapse,12,2,88,89,none,green
